did,n_samples,n_features,imbalance_ratio,avg_corr,class_sep,best_algo
45570,25000,28,0.8870772946859904,0.0688173627967221,0.28168693,SVC
45689,25000,14,0.3309199318568995,0.0,1404.1951,LogisticRegression
45660,25000,8,0.7350267194114789,0.1957588459581385,0.4019202,DecisionTree
45656,25000,14,0.3308490817141336,0.0,,DecisionTree
45654,25000,20,0.9996800511918094,0.005273617102043,1.2463523,LogisticRegression
45703,25000,16,0.1315289218792432,0.0,1026.3444,LogisticRegression
45704,25000,10,0.9992003198720512,0.1862391977404943,0.5817236,SVC
45693,25000,8,0.7350267194114789,0.1957588459581385,0.4019202,DecisionTree
42732,25000,8,0.1384335154826958,0.0,650.2751,SVC
1218,25000,11,0.2000768049155146,0.0999677991803869,9.50143e+16,LogisticRegression
1216,25000,9,0.0467258415675766,0.1229684806299615,894883.5,LogisticRegression
1240,25000,29,0.7853317146325788,0.0,,DecisionTree
1372,25000,36,0.9161493063539512,0.0,0.7722357,SVC
1371,25000,36,0.9161493063539512,0.0,0.30008495,SVC
1236,25000,3,0.1256190904997748,0.0,1.5941888,DecisionTree
1373,25000,36,0.9161493063539512,0.0,0.675118,SVC
1374,25000,36,0.9161493063539512,0.0,0.5555365,SVC
1377,25000,36,0.9161493063539512,0.0,0.67590576,SVC
269,25000,19,0.2623074981065387,0.0,16.383604,LogisticRegression
267,25000,13,0.7986905532772142,0.0991414511245449,21.960865,LogisticRegression
262,25000,39,0.7298643786327152,0.0,287.1701,DecisionTree
260,25000,20,0.4290613924774208,0.0,541.105,LogisticRegression
258,25000,15,0.8050541516245487,0.0,1424.72,LogisticRegression
257,25000,22,0.5866971312515867,0.0,16.317352,LogisticRegression
1376,25000,36,0.9161493063539512,0.0,0.74296695,SVC
45583,25000,11,1.0,0.0,26487.434,LogisticRegression
246,25000,16,0.5455950540958269,0.0,2.7644958,LogisticRegression
1370,25000,36,0.9161493063539512,0.0,0.3812322,SVC
1369,25000,36,0.9161493063539512,0.0,0.67536217,SVC
1238,25000,3,0.5005101734589761,0.0,1.500532,DecisionTree
45556,25000,11,1.0,0.273482873756477,5.217133,LogisticRegression
1237,25000,3,0.7986905532772142,0.0,1.2809769,DecisionTree
1235,25000,9,0.4880066662698649,0.0,2796.9443,DecisionTree
1212,25000,44,0.3913624220837043,0.0177905197363654,14.5090275,SVC
1211,25000,22,0.2632642748863062,0.0,0.8036479,SVC
1205,25000,14,0.7450788775652659,0.0523282275580161,1.7142272,SVC
1182,25000,14,0.3159972627256935,0.0,2962.2043,LogisticRegression
1181,25000,44,0.2742099898063201,0.0319150203471728,15.506298,SVC
1180,25000,22,0.0923708817617757,0.0,0.6783544,SVC
42769,25000,28,0.8870772946859904,0.0698446754882945,0.282323,SVC
256,25000,27,0.5683814303638645,0.0,5.4287615,LogisticRegression
1375,25000,36,0.9161493063539512,0.0,0.77402735,SVC
128,25000,39,0.7329821156245667,0.0,38.280846,DecisionTree
146,25000,34,0.5599650567827281,0.0,1.9378247,SVC
77,25000,9,0.4227989300552046,0.0,1.2585622,SVC
120,25000,22,0.9294589797020916,0.0,4.2702827,DecisionTree
121,25000,27,0.5088418130243225,0.0,3.9444714,LogisticRegression
122,25000,22,0.5882091353789467,0.0,1.9209508,SVC
124,25000,15,0.8021914648212226,0.0,0.9904901,SVC
126,25000,20,0.429388221841052,0.0,1.369421,SVC
40514,25000,20,0.4290613924774208,0.0,541.105,LogisticRegression
131,25000,29,0.065234990838979,0.0,0.72262657,SVC
139,25000,32,0.995530012771392,0.0,1.3967329,SVC
140,25000,13,0.8040121229614663,0.0,1.822696,SVC
72,25000,36,0.9161493063539512,0.0,0.7513503,SVC
142,25000,19,0.2641585760517799,0.0,1.2579075,SVC
73,25000,16,0.5491386788945346,0.0,1.8010609,SVC
152,25000,10,1.0,0.0049596355433764,0.26182705,LogisticRegression
40518,25000,34,0.5599650567827281,0.0,1.9378247,SVC
162,25000,3,0.6278161218908712,0.0038817960759792,3.5990517,LogisticRegression
161,25000,3,0.6277101373787356,0.0024643744225121,3.645529,LogisticRegression
153,25000,10,0.999360204734485,0.0050179873891847,0.41625646,LogisticRegression
41228,25000,32,0.8577691907557405,0.091957500740025,1.1554066,DecisionTree
44129,25000,24,1.0,0.0766968183856375,0.24482393,SVC
